audit_id,source_id,title,primary_cluster,r1_include,r2_include,inclusion_agreement,r1_evaluation_target,r2_evaluation_target,evaluation_target_jaccard,r1_evidence_source,r2_evidence_source,evidence_source_jaccard,r1_quality_property,r2_quality_property,quality_property_jaccard,r1_task_context,r2_task_context,task_context_jaccard,adjudication_required,adjudication_notes
AUDIT-01,TBD,TBD,faithfulness_robustness,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-02,TBD,TBD,faithfulness_robustness,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-03,TBD,TBD,faithfulness_robustness,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-04,TBD,TBD,human_grounded,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-05,TBD,TBD,human_grounded,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-06,TBD,TBD,human_grounded,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-07,TBD,TBD,taxonomy_survey,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-08,TBD,TBD,taxonomy_survey,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-09,TBD,TBD,taxonomy_survey,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-10,TBD,TBD,benchmark_toolkit,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-11,TBD,TBD,benchmark_toolkit,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-12,TBD,TBD,llm_judge,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-13,TBD,TBD,llm_judge,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-14,TBD,TBD,counterfactual_recourse,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-15,TBD,TBD,faithfulness_robustness,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
AUDIT-16,TBD,TBD,human_grounded,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
