feature,importance,rank,cumulative_importance
marital-status_Married-civ-spouse,0.15344476182104116,1,0.15344476182104116
education-num,0.09841734837901801,2,0.25186211020005916
age,0.09406809084145085,3,0.34593020104151
capital-gain,0.08767656555977882,4,0.43360676660128883
relationship_Husband,0.08385295465178516,5,0.517459721253074
marital-status_Never-married,0.0602586195937127,6,0.5777183408467867
hours-per-week,0.048349915254566146,7,0.6260682561013529
relationship_Not-in-family,0.02789492431415648,8,0.6539631804155094
fnlwgt,0.024794868479320793,9,0.6787580488948302
relationship_Wife,0.024015162647405507,10,0.7027732115422357
relationship_Own-child,0.02381353417686571,11,0.7265867457191014
sex_Female,0.02173316122938025,12,0.7483199069484817
capital-loss,0.02049277589956537,13,0.768812682848047
occupation_Exec-managerial,0.020459538875975642,14,0.7892722217240227
occupation_Prof-specialty,0.019560873923506392,15,0.808833095647529
sex_Male,0.01689713295373238,16,0.8257302286012614
education_Bachelors,0.01423777338998425,17,0.8399680019912457
relationship_Unmarried,0.013736324641821196,18,0.8537043266330668
marital-status_Divorced,0.013079724214351657,19,0.8667840508474185
occupation_Other-service,0.012708173009293737,20,0.8794922238567122
education_Masters,0.012635444274555036,21,0.8921276681312672
education_HS-grad,0.00865839712902194,22,0.9007860652602891
education_Prof-school,0.0050474633158203944,23,0.9058335285761095
workclass_Private,0.004110101468675269,24,0.9099436300447848
workclass_Self-emp-not-inc,0.004050862584427641,25,0.9139944926292125
education_Some-college,0.004025646875055846,26,0.9180201395042683
relationship_Other-relative,0.003486919942767857,27,0.9215070594470361
education_7th-8th,0.00338165931297486,28,0.924888718760011
occupation_Farming-fishing,0.003332761493369944,29,0.9282214802533809
occupation_Handlers-cleaners,0.0031677232761026675,30,0.9313892035294836
occupation_Sales,0.0030849528641426526,31,0.9344741563936263
race_White,0.0030843735166699144,32,0.9375585299102962
native-country_United-States,0.0029754368665514974,33,0.9405339667768478
occupation_Adm-clerical,0.0029342499992933892,34,0.9434682167761411
education_Doctorate,0.0027933950092732334,35,0.9462616117854143
workclass_Self-emp-inc,0.00271501377542325,36,0.9489766255608376
marital-status_Separated,0.0026808279153218264,37,0.9516574534761595
education_11th,0.0025047173394520724,38,0.9541621708156116
race_Black,0.002379919670375646,39,0.9565420904859873
workclass_Local-gov,0.0023757663770771157,40,0.9589178568630644
occupation_Craft-repair,0.0023651412159332577,41,0.9612829980789976
occupation_Machine-op-inspct,0.0023024347619629375,42,0.9635854328409605
education_9th,0.0022562947067579853,43,0.9658417275477186
education_10th,0.0020634915946371553,44,0.9679052191423557
workclass_Federal-gov,0.0019861651077508376,45,0.9698913842501066
workclass_State-gov,0.0017325495409910884,46,0.9716239337910977
marital-status_Widowed,0.0017144035153930756,47,0.9733383373064908
occupation_Tech-support,0.001642147727581914,48,0.9749804850340726
native-country_Mexico,0.0016085792116032446,49,0.9765890642456759
workclass_nan,0.0015945236914372393,50,0.9781835879371131
race_Asian-Pac-Islander,0.0015199396842092983,51,0.9797035276213224
education_Assoc-acdm,0.001493825084480902,52,0.9811973527058033
occupation_Transport-moving,0.001463046710414833,53,0.9826603994162182
occupation_nan,0.0014352743668588157,54,0.984095673783077
education_Assoc-voc,0.0013031213727646895,55,0.9853987951558417
native-country_nan,0.0012314684209010075,56,0.9866302635767428
occupation_Protective-serv,0.0011371516593845757,57,0.9877674152361273
education_5th-6th,0.0011104870349227672,58,0.9888779022710501
marital-status_Married-spouse-absent,0.0007683658071269287,59,0.989646268078177
race_Amer-Indian-Eskimo,0.0007221309986884985,60,0.9903683990768655
native-country_Philippines,0.0006108718348491648,61,0.9909792709117147
native-country_India,0.000605901665062182,62,0.9915851725767768
native-country_Canada,0.0005973036073238267,63,0.9921824761841006
native-country_England,0.0005672550535874708,64,0.9927497312376881
education_12th,0.0004946096357433566,65,0.9932443408734314
native-country_Germany,0.00048235454435870026,66,0.9937266954177901
education_1st-4th,0.0004581083053947046,67,0.9941848037231849
race_Other,0.00045495870680802063,68,0.9946397624299929
marital-status_Married-AF-spouse,0.00041963158844534937,69,0.9950593940184382
native-country_South,0.0003808378033124428,70,0.9954402318217507
native-country_Japan,0.00030872970722618765,71,0.9957489615289769
native-country_China,0.0002957989168877429,72,0.9960447604458645
native-country_Greece,0.00025912624145610764,73,0.9963038866873206
occupation_Priv-house-serv,0.0002477140887104033,74,0.996551600776031
native-country_Ireland,0.0002462814092909512,75,0.996797882185322
native-country_Italy,0.0002346780942974175,76,0.9970325602796194
native-country_Puerto-Rico,0.0002210120329200068,77,0.9972535723125394
native-country_Poland,0.0002063581602515813,78,0.997459930472791
native-country_Iran,0.00020492763943289879,79,0.9976648581122239
native-country_Columbia,0.0001708884342870073,80,0.997835746546511
native-country_Cuba,0.00016758668576986446,81,0.9980033332322809
native-country_Guatemala,0.00016599465371017346,82,0.998169327885991
native-country_Vietnam,0.00015363335785498666,83,0.998322961243846
native-country_Cambodia,0.000151618136964479,84,0.9984745793808105
native-country_Jamaica,0.0001456467984030752,85,0.9986202261792136
native-country_El-Salvador,0.00012654009038650817,86,0.9987467662696001
native-country_Taiwan,0.00012056324939171678,87,0.9988673295189918
native-country_Dominican-Republic,0.0001199676435253,88,0.9989872971625171
native-country_Haiti,0.00010670642650763763,89,0.9990940035890248
native-country_Ecuador,0.00010457720642188228,90,0.9991985807954467
workclass_Without-pay,9.738144036242249e-05,91,0.9992959622358091
native-country_France,9.487935354740676e-05,92,0.9993908415893565
native-country_Nicaragua,7.93462712744962e-05,93,0.999470187860631
native-country_Trinadad&Tobago,7.015733517360767e-05,94,0.9995403451958046
native-country_Peru,6.956580365840677e-05,95,0.999609910999463
native-country_Portugal,6.389997984703537e-05,96,0.99967381097931
native-country_Hungary,6.250986138669218e-05,97,0.9997363208406966
native-country_Yugoslavia,5.7405930834394464e-05,98,0.999793726771531
native-country_Hong,4.616207274883164e-05,99,0.9998398888442799
education_Preschool,4.258533522805289e-05,100,0.9998824741795079
native-country_Thailand,3.664201033871742e-05,101,0.9999191161898466
native-country_Outlying-US(Guam-USVI-etc),2.8640220224483154e-05,102,0.9999477564100712
native-country_Laos,2.244620713491754e-05,103,0.999970202617206
occupation_Armed-Forces,1.2899185764807574e-05,104,0.9999831018029709
native-country_Scotland,1.1583178163458723e-05,105,0.9999946849811343
workclass_Never-worked,2.369115555648762e-06,106,0.9999970540966899
native-country_Honduras,1.6144723669607288e-06,107,0.9999986685690568
native-country_Holand-Netherlands,1.3314309431623798e-06,108,1.0
