feature,importance,rank,cumulative_importance
fnlwgt,0.16728068960917722,1,0.16728068960917722
age,0.1526176844782317,2,0.31989837408740895
capital-gain,0.09205619268377907,3,0.411954566771188
hours-per-week,0.08337308920467498,4,0.49532765597586303
marital-status_Married-civ-spouse,0.071320362278399,5,0.566648018254262
education-num,0.06677902404881636,6,0.6334270423030783
relationship_Husband,0.036219594414030463,7,0.6696466367171088
capital-loss,0.03025378156068679,8,0.6999004182777956
marital-status_Never-married,0.02218329683079984,9,0.7220837151085955
occupation_Exec-managerial,0.01844999106053435,10,0.7405337061691298
occupation_Prof-specialty,0.015403389163538067,11,0.755937095332668
relationship_Not-in-family,0.012522874446260636,12,0.7684599697789286
education_Bachelors,0.011185778126581215,13,0.7796457479055098
sex_Female,0.009865928393893218,14,0.789511676299403
workclass_Private,0.009801306907119799,15,0.7993129832065228
relationship_Wife,0.009287829495249813,16,0.8086008127017726
education_Masters,0.009236858509979063,17,0.8178376712117517
sex_Male,0.00871815873533819,18,0.8265558299470899
workclass_Self-emp-not-inc,0.007785681330818248,19,0.8343415112779081
occupation_Other-service,0.00763972056472352,20,0.8419812318426316
relationship_Own-child,0.007636016336951509,21,0.8496172481795832
occupation_Sales,0.0064402078507339615,22,0.8560574560303171
education_HS-grad,0.006163249192832667,23,0.8622207052231498
occupation_Craft-repair,0.006067211063881119,24,0.8682879162870308
race_White,0.005963039385620523,25,0.8742509556726513
native-country_United-States,0.005859647325152898,26,0.8801106029978042
workclass_Local-gov,0.005583286830433236,27,0.8856938898282374
workclass_Self-emp-inc,0.005420595365178199,28,0.8911144851934156
occupation_Adm-clerical,0.005319342038559524,29,0.8964338272319752
marital-status_Divorced,0.005135915361151291,30,0.9015697425931265
education_Prof-school,0.005036835460151418,31,0.9066065780532779
education_Some-college,0.004972078796981003,32,0.911578656850259
workclass_Federal-gov,0.00495882471144436,33,0.9165374815617033
relationship_Unmarried,0.004845473959439185,34,0.9213829555211426
race_Black,0.004752512346328255,35,0.9261354678674708
workclass_State-gov,0.004427167907879352,36,0.9305626357753501
occupation_Transport-moving,0.004235094950537287,37,0.9347977307258875
occupation_Farming-fishing,0.004095543161679089,38,0.9388932738875665
occupation_Tech-support,0.004050380379150654,39,0.9429436542667171
occupation_Machine-op-inspct,0.003674509690384738,40,0.9466181639571019
occupation_Handlers-cleaners,0.0029661710855790023,41,0.9495843350426808
occupation_Protective-serv,0.0029035398256973596,42,0.9524878748683782
education_Doctorate,0.0028745626629077454,43,0.9553624375312859
race_Asian-Pac-Islander,0.0027944726754738475,44,0.9581569102067597
education_Assoc-voc,0.002745196942916236,45,0.9609021071496759
native-country_nan,0.002432399183282752,46,0.9633345063329587
education_Assoc-acdm,0.0022737720046033787,47,0.965608278337562
education_7th-8th,0.0018297236792396284,48,0.9674380020168016
occupation_nan,0.0018146721774532,49,0.9692526741942549
workclass_nan,0.0017828325692870524,50,0.9710355067635419
education_11th,0.0017371680615395383,51,0.9727726748250815
marital-status_Separated,0.0016666465103264741,52,0.9744393213354079
native-country_Mexico,0.0016371730469876549,53,0.9760764943823955
relationship_Other-relative,0.0015307619412138756,54,0.9776072563236093
education_10th,0.001440122867525726,55,0.979047379191135
marital-status_Widowed,0.0014350763921588414,56,0.9804824555832939
native-country_Canada,0.0012074880771785793,57,0.9816899436604726
