instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability
352,TP,True,122644.58708299208,0.09259259259259259,0.9614590525318525,0.5793319126807528,0.9449732036842443
358,TP,True,226903.525583999,0.09259259259259259,0.9614544390691959,0.7125004518714984,0.9759374581387147
800,TP,True,167390.33758299774,0.09259259259259259,0.9721456585652196,0.7024774828986871,0.9669198668577494
852,TP,True,87894.84283400816,0.09259259259259259,0.9609250953959358,0.7003666411452714,0.9740791711981538
962,TP,True,85457.27033400908,0.09259259259259259,0.9156228185412496,0.7362079734363087,0.9756118236685921
1063,TP,True,121685.01720900531,0.09259259259259259,0.9736885918724781,0.7135830170255861,0.9640708435302208
1072,TP,True,225641.2728750147,0.09259259259259259,0.9776839291313196,0.7011957541338096,0.9765750551935548
1135,TP,True,88070.76341699576,0.09259259259259259,0.9487857088301299,0.7259348861520705,0.9689648995717922
1182,TP,True,84942.30091699865,0.09259259259259259,0.9822909950036325,0.6963859212548313,0.9730300393103286
1192,TP,True,167943.41266699485,0.09259259259259259,0.9679692590223856,0.6548888380395077,0.9856903438281951
1205,TP,True,166986.03800000274,0.09259259259259259,0.9765615381228614,0.47797768096741766,0.9353167294254734
1281,TP,True,87051.81016601273,0.09259259259259259,0.9422887783170738,0.4523399801063006,0.8981478689518017
1410,TP,True,86231.15512498771,0.09259259259259259,0.9915091212054316,0.7610831543671359,0.9954708236277826
1457,TP,True,84553.35920801735,0.09259259259259259,0.9794611425571922,0.7201100827257808,0.9858376094470254
1699,TP,True,259065.9124160302,0.09259259259259259,0.952580135460932,0.7350530082117636,0.99463736788052
1788,TP,True,261420.63087498536,0.09259259259259259,0.9400949550557961,0.7299615209070073,0.9704601386270919
1822,TP,True,169620.98479201086,0.09259259259259259,0.9824062395745023,0.580297060411326,0.9569341104607108
1898,TP,True,84325.35191701027,0.09259259259259259,0.951025154102908,0.6689619443236967,0.9699116293660359
1918,TP,True,86243.03791701095,0.09259259259259259,0.9929041926168847,0.6600722657547633,0.9938928555737796
2217,TP,True,85595.42050000164,0.09259259259259259,0.9870521909372171,0.6405308719553764,0.9887452893067452
2333,TP,True,169717.80299997772,0.09259259259259259,0.958607754760516,0.5174455789823739,0.9662111220945406
2419,TP,True,84930.55508300313,0.09259259259259259,0.9582264735133239,0.7009950335959417,0.9684101041511085
2422,TP,True,169501.13333301852,0.09259259259259259,0.9535201967270096,0.7031395572321838,0.9608996702130043
2953,TP,True,88441.12541599316,0.09259259259259259,0.9890831686682058,0.7263772737097297,0.995570915622795
2968,TP,True,251348.09187499923,0.09259259259259259,0.9737552023678726,0.7174949778454078,0.9716619884335642
3068,TP,True,168573.0736250116,0.09259259259259259,0.9549583151872167,0.661142109061356,0.9644187760375401
3240,TP,True,561383.7355830474,0.09259259259259259,0.9618840403164215,0.7560944339907203,0.9650576258428766
3286,TP,True,167839.71987498808,0.09259259259259259,0.9890837109333525,0.6573965469748184,0.9841494362114563
3467,TP,True,166982.0663749997,0.09259259259259259,0.8633456890670584,0.7905603224371904,0.9830308056918868
4085,TP,True,561097.3887500004,0.09259259259259259,0.9238691030992694,0.8415052368065998,0.9684784989927212
4165,TP,True,84147.9204579955,0.09259259259259259,0.9493943541539663,0.5868934719516591,0.9409201833458427
4460,TP,True,175858.00512498827,0.09259259259259259,0.959744416177695,0.4467976175625956,0.9563170462839322
4490,TP,True,85175.0342079904,0.09259259259259259,0.9582678157090103,0.7104888974269369,0.9639124036355264
4534,TP,True,86257.41641697823,0.09259259259259259,0.9582924749989749,0.48463510487594846,0.9401367286475916
4770,TP,True,85082.1405420138,0.09259259259259259,0.9966234051208016,0.7720392951132216,0.9984956086804031
4877,TP,True,84889.69570799964,0.09259259259259259,0.8942362899098301,0.42576446987835004,0.8740842962290971
4897,TP,True,85425.24429198238,0.09259259259259259,0.9954669156065503,0.8353060317008142,0.9988776861155997
5100,TP,True,258786.03458299767,0.09259259259259259,0.9551282194953352,0.7144645144417154,0.9699964686523767
5111,TP,True,259694.79512498947,0.09259259259259259,0.9267302729248045,0.6380747809195423,0.9527853080549945
5294,TP,True,86707.72350000334,0.09259259259259259,0.8927998820442387,0.34576506055092127,0.8887471367901607
5334,TP,True,122288.81166598876,0.09259259259259259,0.9696754129102839,0.7418732726869061,0.9766773643351563
5637,TP,True,168278.99849999812,0.09259259259259259,0.9493271454320411,0.6726532574668393,0.9577031429329715
6223,TP,True,168734.99958301545,0.09259259259259259,0.960096802898088,0.7114763394966814,0.9970823428038956
7008,TP,True,168135.67112499732,0.09259259259259259,0.9745605464899101,0.7206948687517487,0.9877484175311194
7538,TP,True,415175.48633296974,0.09259259259259259,0.995116102799701,0.8725148694355246,0.9991568558186382
7564,TP,True,448076.4879999915,0.09259259259259259,0.946908764985924,0.6243709906929462,0.9430648008765647
7708,TP,True,85559.42525001592,0.09259259259259259,0.9487543168772476,0.7045838030473777,0.9648037619187937
7963,TP,True,87844.32137498516,0.09259259259259259,0.9779924348086488,0.7567251748531044,0.9766022058125903
8103,TP,True,86090.67725000205,0.09259259259259259,0.9518199139462175,0.726836705680798,0.9780337434052696
8445,TP,True,84440.3999170172,0.09259259259259259,0.990878089369233,0.7514521000843277,0.9969188162614219
8519,TP,True,88625.56616700022,0.09259259259259259,0.9430126278917608,0.44114812464158515,0.9615594805356031
8926,TP,True,259971.43154096557,0.09259259259259259,0.9605150862786141,0.6845060191690568,0.9645840651495541
8954,TP,True,88259.82804200612,0.09259259259259259,0.9269070860064355,0.5553214607604544,0.9315177351971065
9012,TP,True,83580.284458003,0.09259259259259259,0.9731686481002657,0.6720609823736433,0.9705605925965326
9185,TP,True,167460.97245800775,0.09259259259259259,0.9911130764422063,0.757160281003544,0.9988698432678932
9541,TP,True,259910.31558299437,0.09259259259259259,0.942622358097004,0.6911651835299694,0.9849814566265663
9728,TP,True,83851.03812499437,0.09259259259259259,0.9518397759867825,0.6739920533065662,0.9544681588486197
