instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability
0,TP,True,1002.7016999665648,0.9,0.635079144929616,0.26,0.9531541208919898
1,TN,True,1003.4089999971911,1.0,0.8633821128127518,0.33,0.9987315114010842
2,TN,True,1026.769099989906,0.9666666666666667,0.9297404916263793,0.52,0.9610155704600332
3,TP,True,1001.998099964112,0.9666666666666667,0.7534727273781952,0.25,0.9939811694272666
4,TP,True,1002.9683000175282,1.0,0.8775683562695975,0.22999999999999998,0.9933639249490422
5,TP,True,1213.6704999720678,0.9666666666666667,0.8207546828058214,0.35,0.9917249974771839
6,TP,True,1005.4685999639332,0.9,0.7835845522941777,0.25,0.9948692071008468
7,TP,True,1015.4492000583559,1.0,0.8224262383272479,0.22999999999999998,0.9889341508896355
8,TP,True,1013.4888000320643,1.0,0.8558224560518706,0.12,0.6368406455562613
9,TP,True,1005.2812000503764,0.9666666666666667,0.757016088903701,0.27,0.9297396362020429
10,TP,True,1360.504399985075,0.9333333333333333,0.8098064407658343,0.18999999999999995,0.9989613019791388
11,TP,True,1006.6499999957159,0.9333333333333333,0.8347137006776796,0.22999999999999998,0.9923379248695495
12,TP,True,1002.1555999992415,0.9666666666666667,0.9052835555461216,0.22999999999999998,0.9935181895259816
13,TN,True,1002.4928000057116,1.0,0.8153966750211095,0.25,0.997337207429243
14,TP,True,1003.9496999233961,0.9666666666666667,0.7455234597173162,0.20999999999999996,0.9960426279972927
15,TP,True,1037.7370999194682,1.0,0.8172470519529804,0.13,0.9723480431509753
16,TP,True,1070.3789999242872,1.0,0.8532428962819354,0.32999999999999996,0.9693105492869788
17,TP,True,1008.4958999650553,0.9333333333333333,0.9259502918116158,0.21999999999999997,0.9931302008561841
18,TP,True,1008.8628999656066,1.0,0.8827230614839687,0.16000000000000003,0.8604876151066053
19,TP,True,1001.6608000732958,0.9666666666666667,0.8888847833428499,0.38,0.9910614617861054
20,TP,True,1010.4819999542087,1.0,0.7004686580133676,0.20999999999999996,0.9565595416960156
21,TP,True,1001.6530000139028,1.0,0.8661565198688087,0.21999999999999997,0.9957453407526721
22,TN,True,1006.137500051409,1.0,0.9468633499047957,0.3,0.9957738082613024
23,TN,True,1005.6625999277458,1.0,0.7581002330013065,0.22000000000000003,0.972508071950676
24,TN,True,1002.7425000444055,0.9666666666666667,0.8674118630229599,0.39,0.9948288816095437
25,TN,True,1004.3914000270888,1.0,0.8877335964267683,0.34,0.9975066012039716
26,TN,True,1006.9696999853477,1.0,0.9204916644071771,0.12,0.9893019886078132
27,TP,True,1007.5461999513209,1.0,0.7994843876253548,0.030000000000000027,0.938234991804894
28,TP,True,1004.4492000015453,1.0,0.7513471523468981,0.27,0.9968338811618332
29,TN,True,1022.4443000042811,0.9666666666666667,0.9469084923456723,0.35,0.9907310338051034
30,TP,True,1013.1493000080809,0.9666666666666667,0.7944353413542067,0.14,0.72297940591376
31,TN,True,1001.4360999921337,0.9333333333333333,0.9351044508470346,0.25000000000000006,0.900694238868792
32,TP,True,1003.8826999953017,0.9666666666666667,0.8385459670150989,0.24,0.9978196591009344
33,TP,True,1028.0866000102833,1.0,0.854601980731532,0.28,0.8944800980335171
34,TP,True,1002.7865000301972,1.0,0.8836491610699987,0.26,0.9970619271316802
35,TP,True,1002.8400999726728,1.0,0.792206666837378,0.31999999999999995,0.955830367678968
36,TN,True,1003.7372999358922,1.0,0.856051144875117,0.25,0.9984617330080344
37,TP,True,1003.1731000635773,0.9666666666666667,0.8069509968418096,0.29000000000000004,0.9928096654138578
38,TP,True,1018.2226001052186,1.0,0.9003588269796121,0.35,0.9950932976386276
39,TP,True,1003.9722999790683,1.0,0.7868493245458517,0.30999999999999994,0.944623712906663
40,TP,True,1037.8758000442758,0.8666666666666667,0.7624164893543525,0.18999999999999995,0.9958903186143766
41,TN,True,1011.707799974829,1.0,0.8438381476713214,0.36,0.9955401230222048
42,TN,True,1010.3542999131605,0.9666666666666667,0.9088484416653646,0.27,0.9968759950964677
43,TN,True,1008.6040999740362,1.0,0.9068675965070306,0.49000000000000005,0.9928722425689481
44,TN,True,1003.7065000506118,0.9333333333333333,0.9054141267888285,0.41,0.9978379428610654
45,TP,True,1002.677800017409,0.9,0.8872495917967024,0.36,0.9965342405350773
46,TN,True,1005.9192000189796,0.9666666666666667,0.8847350024265885,0.37,0.9795228388002147
47,TP,True,1005.3512000013143,0.9333333333333333,0.8737051465956741,0.32999999999999996,0.986381264864897
48,TP,True,1002.0601999713108,0.9666666666666667,0.8593364356935287,0.27,0.998215549987397
49,TP,True,1100.1190000679344,1.0,0.8553032512278297,0.25,0.9967063256101083
50,TN,True,1006.1892999801785,1.0,0.9108587475619336,0.33,0.9963999221554521
51,FN,False,1003.6553000099957,1.0,0.9247354291814025,0.36000000000000004,0.9318215630913591
52,TP,True,1074.6126000303775,1.0,0.8629311112430282,0.17999999999999994,0.9956993266729197
53,TP,True,1018.4884999180213,0.9666666666666667,0.7986127500055835,0.18999999999999995,0.7925992957620828
54,FP,False,1004.5332999434322,0.9333333333333333,0.8436153581796171,0.25,0.9163050386263686
55,TN,True,1069.3455000873655,0.9666666666666667,0.9181370354850682,0.33999999999999997,0.996895591714687
56,TP,True,1030.7351000374183,0.9333333333333333,0.8945782305782111,0.26,0.9979813559379956
57,TN,True,1003.5416999598965,0.9666666666666667,0.8708170113128054,0.34,0.9987385794571838
58,TP,True,1010.1740999380127,1.0,0.6523920735228138,0.15000000000000002,0.9952681762778446
