dataset,model,seed,n_valid,fidelity_mean,stability_mean,sparsity_mean,cost_ms_mean
breast_cancer,rf,42,91,0.689,0.915,0.33,10.5
breast_cancer,rf,123,92,0.672,0.912,0.333,11.9
breast_cancer,rf,456,91,0.779,0.938,0.33,14.6
breast_cancer,xgb,42,91,0.52,0.923,0.33,7.9
breast_cancer,xgb,123,92,0.5,0.916,0.333,7.4
breast_cancer,xgb,456,91,0.61,0.943,0.33,7.3
german_credit,rf,42,100,0.468,0.851,0.163,20.5
german_credit,rf,123,100,0.476,0.861,0.162,20.2
german_credit,rf,456,100,0.504,0.851,0.163,22.5
german_credit,xgb,42,100,0.434,0.737,0.163,9.4
german_credit,xgb,123,100,0.497,0.765,0.162,10.3
german_credit,xgb,456,100,0.473,0.741,0.164,10.9
