score_dimension,technical_metric,spearman_correlation,n
clarity,fidelity,0.0,15
clarity,stability,0.0,15
clarity,sparsity,0.0,15
clarity,faithfulness_gap,0.0,15
clarity,runtime_ms,0.0,15
clarity,cost,0.0,15
completeness,fidelity,,15
completeness,stability,,15
completeness,sparsity,,15
completeness,faithfulness_gap,,15
completeness,runtime_ms,,15
completeness,cost,,15
concision,fidelity,,15
concision,stability,,15
concision,sparsity,,15
concision,faithfulness_gap,,15
concision,runtime_ms,,15
concision,cost,,15
semantic_plausibility,fidelity,0.0,15
semantic_plausibility,stability,0.0,15
semantic_plausibility,sparsity,0.0,15
semantic_plausibility,faithfulness_gap,0.0,15
semantic_plausibility,runtime_ms,0.0,15
semantic_plausibility,cost,0.0,15
audit_usefulness,fidelity,,15
audit_usefulness,stability,,15
audit_usefulness,sparsity,,15
audit_usefulness,faithfulness_gap,,15
audit_usefulness,runtime_ms,,15
audit_usefulness,cost,,15
actionability,fidelity,0.0,15
actionability,stability,0.0,15
actionability,sparsity,0.0,15
actionability,faithfulness_gap,0.0,15
actionability,runtime_ms,0.0,15
actionability,cost,0.0,15
overall_quality,fidelity,,15
overall_quality,stability,,15
overall_quality,sparsity,,15
overall_quality,faithfulness_gap,,15
overall_quality,runtime_ms,,15
overall_quality,cost,,15
