case_id,judge_model,prompt_condition,n_replicates,clarity_std_across_replicates,clarity_range_across_replicates,completeness_std_across_replicates,completeness_range_across_replicates,concision_std_across_replicates,concision_range_across_replicates,semantic_plausibility_std_across_replicates,semantic_plausibility_range_across_replicates,audit_usefulness_std_across_replicates,audit_usefulness_range_across_replicates,actionability_std_across_replicates,actionability_range_across_replicates,overall_quality_std_across_replicates,overall_quality_range_across_replicates
exp4_003259ff27515980,exp4-dummy-judge,hidden_label_primary,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_003259ff27515980,exp4-dummy-judge,label_visible_bias_probe,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_003259ff27515980,exp4-dummy-judge,rubric_alt_sensitivity,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_003259ff27515980,openai/gpt-4.1-2025-04-14,hidden_label_primary,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_03f9ac9f3ab42b8b,exp4-dummy-judge,hidden_label_primary,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_03f9ac9f3ab42b8b,exp4-dummy-judge,label_visible_bias_probe,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_03f9ac9f3ab42b8b,exp4-dummy-judge,rubric_alt_sensitivity,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_052659e044864140,exp4-dummy-judge,hidden_label_primary,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_052659e044864140,exp4-dummy-judge,label_visible_bias_probe,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_052659e044864140,exp4-dummy-judge,rubric_alt_sensitivity,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_05cbef61c778f3fb,exp4-dummy-judge,hidden_label_primary,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_05cbef61c778f3fb,exp4-dummy-judge,label_visible_bias_probe,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_05cbef61c778f3fb,exp4-dummy-judge,rubric_alt_sensitivity,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_06e7340405176025,exp4-dummy-judge,hidden_label_primary,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_06e7340405176025,exp4-dummy-judge,label_visible_bias_probe,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
exp4_06e7340405176025,exp4-dummy-judge,rubric_alt_sensitivity,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
