model,method,seed,n,instance_id,masking_scheme,topk_gap,top_feature_corr,n_features_masked_topk
rf,shap,42,50,17,zero,0.1181098567344203,0.7798656778024102,5.0
rf,shap,42,50,17,mean,0.11810985673442026,0.7798656778024103,5.0
rf,shap,42,50,17,marginal,0.2540893007793943,0.556034354701757,5.0
rf,shap,42,50,17,grouped_mean,0.11205567477511874,0.7171792098897037,17.0
rf,shap,42,50,41,zero,0.08475148777488492,0.2657585044858122,5.0
rf,shap,42,50,41,mean,0.08475148777488489,0.26575850448581223,5.0
rf,shap,42,50,41,marginal,0.34002705023957863,0.8267427846267971,5.0
rf,shap,42,50,41,grouped_mean,0.1246874627484316,0.3004145632089246,17.0
rf,shap,42,50,86,zero,0.3655084090297588,0.4611774503950499,5.0
rf,shap,42,50,86,mean,0.3655084090297589,0.4670696888738379,5.0
rf,shap,42,50,86,marginal,0.23903076081365404,0.6658146875966443,5.0
rf,shap,42,50,86,grouped_mean,0.5340915082957646,-0.11527860437775905,58.0
rf,shap,42,50,142,zero,0.5458965906224855,0.8837455002561436,5.0
rf,shap,42,50,142,mean,0.5458965906224857,0.8747563965041419,5.0
rf,shap,42,50,142,marginal,0.5434120960441087,0.8610865318743369,5.0
rf,shap,42,50,142,grouped_mean,0.5265593585087489,0.8476239969326244,57.0
rf,shap,42,50,205,zero,0.5370930998644683,0.7055401602728825,5.0
rf,shap,42,50,205,mean,0.5370930998644682,0.7055401602728821,5.0
rf,shap,42,50,205,marginal,0.5870307321179628,0.7992820233824353,5.0
rf,shap,42,50,205,grouped_mean,0.5370930998644683,0.8284645414058278,43.0
rf,shap,42,50,272,zero,0.026451212856900747,0.7594673129327116,5.0
rf,shap,42,50,272,mean,0.02645121285690072,0.7302821508140845,5.0
rf,shap,42,50,272,marginal,0.27165921790831465,0.7198836838192528,5.0
rf,shap,42,50,272,grouped_mean,0.015652740188157988,0.7385520603787001,34.0
rf,shap,42,50,311,zero,0.005369960584308636,-0.328352582882486,5.0
rf,shap,42,50,311,mean,0.005369960584308636,-0.328352582882485,5.0
rf,shap,42,50,311,marginal,0.5144746663295997,0.6871353224676379,5.0
rf,shap,42,50,311,grouped_mean,0.08423167622144374,0.5205520030650095,33.0
rf,shap,42,50,312,zero,0.12363986145477354,0.416396913235685,5.0
rf,shap,42,50,312,mean,0.12363986145477357,0.41639691323568495,5.0
rf,shap,42,50,312,marginal,0.38055156925856454,0.7141408921679699,5.0
rf,shap,42,50,312,grouped_mean,0.18554886101569668,0.29564229487656873,41.0
rf,shap,42,50,329,zero,0.07769108428122845,0.011048877664228851,5.0
rf,shap,42,50,329,mean,0.07769108428122842,-0.11545938021714991,5.0
rf,shap,42,50,329,marginal,0.16575744923343727,0.31710740204002674,5.0
rf,shap,42,50,329,grouped_mean,0.014538400847850352,0.19345779894020532,18.0
rf,shap,42,50,359,zero,0.5779070625218201,0.8481386352375051,5.0
rf,shap,42,50,359,mean,0.5779070625218201,0.8481386352375048,5.0
rf,shap,42,50,359,marginal,0.29219152296774736,0.7884193556186891,5.0
rf,shap,42,50,359,grouped_mean,0.575951283069618,0.354731036545477,57.0
rf,shap,42,50,386,zero,0.6929760321249037,0.8359021462713304,5.0
rf,shap,42,50,386,mean,0.6929760321249037,0.836509954215091,5.0
rf,shap,42,50,386,marginal,0.5457082178394708,0.9060668335726216,5.0
rf,shap,42,50,386,grouped_mean,0.6596518817263458,0.9443869736499119,58.0
rf,shap,42,50,502,zero,0.6584049360165404,0.7044735407576825,5.0
rf,shap,42,50,502,mean,0.6584049360165404,0.69791682018211,5.0
rf,shap,42,50,502,marginal,0.7098043797085375,0.42366411970520873,5.0
rf,shap,42,50,502,grouped_mean,0.672213889540863,0.04585693509691448,57.0
rf,shap,42,50,559,zero,0.6086906851134334,0.9623063565188871,5.0
rf,shap,42,50,559,mean,0.6086906851134335,0.9623063565188874,5.0
rf,shap,42,50,559,marginal,0.5372807480109337,0.9846582122776636,5.0
rf,shap,42,50,559,grouped_mean,0.6086906851134334,0.8030156578703052,18.0
rf,shap,42,50,575,zero,0.333207264177488,0.5788056327968297,5.0
rf,shap,42,50,575,mean,0.3332072641774877,0.578805632796829,5.0
rf,shap,42,50,575,marginal,0.5852770539508055,0.7158316530872963,5.0
rf,shap,42,50,575,grouped_mean,0.6162806763758022,0.06463109507684678,57.0
rf,shap,42,50,616,zero,0.05650708686298675,0.5007266990246264,5.0
rf,shap,42,50,616,mean,0.05650708686298675,0.5007266990246261,5.0
rf,shap,42,50,616,marginal,0.2041242389102144,0.6966416821108071,5.0
rf,shap,42,50,616,grouped_mean,0.11745814751553027,0.44301142897175205,17.0
rf,shap,42,50,655,zero,0.2935068102610754,0.4445628451795742,5.0
rf,shap,42,50,655,mean,0.29350681026107517,0.444562845179573,5.0
rf,shap,42,50,655,marginal,0.19083376459575416,0.4707494931126549,5.0
rf,shap,42,50,655,grouped_mean,0.4792252218150721,-0.1862599960620321,34.0
rf,shap,42,50,666,zero,0.004409335695831747,-0.29677185758553515,5.0
rf,shap,42,50,666,mean,0.004409335695831761,-0.3854254222514357,5.0
rf,shap,42,50,666,marginal,0.3789166138172743,0.8754433403324685,5.0
rf,shap,42,50,666,grouped_mean,0.09623371139018429,0.16977368847480817,40.0
rf,shap,42,50,729,zero,0.05139381799261418,0.38450630939930464,5.0
rf,shap,42,50,729,mean,0.05139381799261418,0.3845063093993044,5.0
rf,shap,42,50,729,marginal,0.26582178817670205,0.6665186447669372,5.0
rf,shap,42,50,729,grouped_mean,0.15018001387868227,-0.0036233079991542655,34.0
rf,shap,42,50,798,zero,0.22408666160508428,0.9827955136435169,5.0
rf,shap,42,50,798,mean,0.22408666160508423,0.9827955136435168,5.0
rf,shap,42,50,798,marginal,0.13349599917948476,0.9839196206533385,5.0
rf,shap,42,50,798,grouped_mean,0.42600647812148595,0.9551376893557931,35.0
rf,shap,42,50,880,zero,0.4438240861905818,0.4216956149533022,5.0
rf,shap,42,50,880,mean,0.4438240861905817,0.421695614953302,5.0
rf,shap,42,50,880,marginal,0.2993117721387127,0.5283097110377596,5.0
rf,shap,42,50,880,grouped_mean,0.4438240861905818,0.06717735156065158,41.0
rf,shap,42,50,922,zero,0.5865495627248466,0.5939260510917547,5.0
rf,shap,42,50,922,mean,0.5865495627248466,0.5939260510917549,5.0
rf,shap,42,50,922,marginal,0.5594590474265015,0.3485668873125933,5.0
rf,shap,42,50,922,grouped_mean,0.5950280443736322,0.17854743609769103,57.0
rf,shap,42,50,1267,zero,0.5868042688082008,0.678853815604772,5.0
rf,shap,42,50,1267,mean,0.5868042688082006,0.6788538156047718,5.0
rf,shap,42,50,1267,marginal,0.26444077297636415,0.642184150520392,5.0
rf,shap,42,50,1267,grouped_mean,0.6044338142525907,0.004746268602139017,57.0
rf,shap,42,50,1364,zero,0.5152968574557719,0.3172560673652408,5.0
rf,shap,42,50,1364,mean,0.5152968574557721,0.31725606736524126,5.0
rf,shap,42,50,1364,marginal,0.265351759045229,0.44680921655414596,5.0
rf,shap,42,50,1364,grouped_mean,0.5152968574557719,-0.00944811914305757,34.0
rf,shap,42,50,1391,zero,0.2925071333744166,0.2893396151353052,5.0
rf,shap,42,50,1391,mean,0.29250713337441636,0.28933961513530343,5.0
rf,shap,42,50,1391,marginal,0.11694209514230906,0.3660144993465375,5.0
rf,shap,42,50,1391,grouped_mean,0.4961122170615783,-0.37628164417639154,41.0
rf,shap,42,50,1560,zero,0.24607293124794324,0.7491439098408706,5.0
rf,shap,42,50,1560,mean,0.2460729312479432,0.7549991035949922,5.0
rf,shap,42,50,1560,marginal,0.20809766659677217,0.6234589152695504,5.0
rf,shap,42,50,1560,grouped_mean,0.24607293124794316,0.2368345067860114,18.0
rf,shap,42,50,1624,zero,0.5954398646873078,0.5344653862311101,5.0
rf,shap,42,50,1624,mean,0.595439864687308,0.53446538623111,5.0
rf,shap,42,50,1624,marginal,0.2741274223443226,0.6017671209876595,5.0
rf,shap,42,50,1624,grouped_mean,0.5954398646873076,0.11500836471959489,33.0
rf,shap,42,50,1700,zero,0.19510555780545158,0.27277687803356676,5.0
rf,shap,42,50,1700,mean,0.19510555780545158,0.2512000521340307,5.0
rf,shap,42,50,1700,marginal,0.20439051573364073,0.10239144793699542,5.0
rf,shap,42,50,1700,grouped_mean,0.4403006635509601,0.055590918859012836,42.0
rf,shap,42,50,1752,zero,0.09203819912485778,0.8073063305749348,5.0
rf,shap,42,50,1752,mean,0.09203819912485778,0.8116424451614775,5.0
rf,shap,42,50,1752,marginal,0.1819520362746222,0.9213232899305855,5.0
rf,shap,42,50,1752,grouped_mean,0.09203819912485789,0.5030193269882104,43.0
rf,shap,42,50,1788,zero,0.6461384680474329,0.643349701689439,5.0
rf,shap,42,50,1788,mean,0.6461384680474329,0.6433497016894388,5.0
rf,shap,42,50,1788,marginal,0.20120079273457903,0.7612582305430564,5.0
rf,shap,42,50,1788,grouped_mean,0.6419517136934789,0.13150808041511097,34.0
rf,shap,42,50,1935,zero,0.6124795501496186,0.9840413997787543,5.0
rf,shap,42,50,1935,mean,0.6124795501496183,0.9840413997787544,5.0
rf,shap,42,50,1935,marginal,0.42504269257211363,0.9934695212520124,5.0
rf,shap,42,50,1935,grouped_mean,0.6050632904405742,0.9803348825294333,57.0
rf,shap,42,50,1940,zero,0.13467649550387223,0.6120030848327453,5.0
rf,shap,42,50,1940,mean,0.1346764955038724,0.6073197569171767,5.0
rf,shap,42,50,1940,marginal,0.1508562555898006,0.8477263446441495,5.0
rf,shap,42,50,1940,grouped_mean,0.3607785775280359,0.2539614512517146,42.0
rf,shap,42,50,1949,zero,0.6932141802973666,0.43649606932094004,5.0
rf,shap,42,50,1949,mean,0.6932141802973664,0.43649606932093965,5.0
rf,shap,42,50,1949,marginal,0.5826941836481525,0.25332585516018247,5.0
rf,shap,42,50,1949,grouped_mean,0.6932141802973666,-0.22067096671346292,41.0
rf,shap,42,50,1966,zero,0.3135281918469486,0.7343935825132275,5.0
rf,shap,42,50,1966,mean,0.3135281918469486,0.7343935825132276,5.0
rf,shap,42,50,1966,marginal,0.3135281918469487,0.22471962450053318,5.0
rf,shap,42,50,1966,grouped_mean,0.3135281918469486,-0.002318727492086569,41.0
rf,shap,42,50,1985,zero,0.6035509229744287,0.6078697524950322,5.0
rf,shap,42,50,1985,mean,0.6035509229744287,0.6078697524950323,5.0
rf,shap,42,50,1985,marginal,0.18914483696561893,0.6925497125558253,5.0
rf,shap,42,50,1985,grouped_mean,0.6826037322408796,0.16016116987705833,34.0
rf,shap,42,50,1989,zero,0.22847095130240538,0.1067364161432908,5.0
rf,shap,42,50,1989,mean,0.22847095130240544,-0.15410773705946496,5.0
rf,shap,42,50,1989,marginal,0.154932630998411,-0.11505393691215861,5.0
rf,shap,42,50,1989,grouped_mean,0.06711695656532313,-0.35557478994434705,35.0
rf,shap,42,50,1995,zero,0.32789710125277005,0.09589761233528618,5.0
rf,shap,42,50,1995,mean,0.32789710125277005,0.09589761233528675,5.0
rf,shap,42,50,1995,marginal,0.11663382810765555,0.1769759360449732,5.0
rf,shap,42,50,1995,grouped_mean,0.49993672485054974,-0.31912974110972503,58.0
rf,shap,42,50,1999,zero,0.6409043417647355,0.657951440564665,5.0
rf,shap,42,50,1999,mean,0.6409043417647353,0.6579514405646649,5.0
rf,shap,42,50,1999,marginal,0.47745318408015874,0.6072623409006819,5.0
rf,shap,42,50,1999,grouped_mean,0.623090667795726,-0.017462074558039137,57.0
rf,shap,42,50,2173,zero,0.1544319540457837,0.23338561703694033,5.0
rf,shap,42,50,2173,mean,0.1544319540457838,0.18945506340078477,5.0
rf,shap,42,50,2173,marginal,0.137693758326448,0.5189173940187058,5.0
rf,shap,42,50,2173,grouped_mean,0.14396529408138772,0.13164853105226393,57.0
rf,shap,42,50,2174,zero,0.32916673872227914,0.5406203957608371,5.0
rf,shap,42,50,2174,mean,0.299800652330127,0.552511254909769,5.0
rf,shap,42,50,2174,marginal,0.488734365956168,0.6239025833133534,5.0
rf,shap,42,50,2174,grouped_mean,0.4996462856195678,-0.06208178578340898,35.0
rf,shap,42,50,2176,zero,0.5979063947652341,0.6881046733780589,5.0
rf,shap,42,50,2176,mean,0.5979063947652339,0.688104673378058,5.0
rf,shap,42,50,2176,marginal,0.5251187257824995,0.7357345058305167,5.0
rf,shap,42,50,2176,grouped_mean,0.597906394765234,0.16771359591359894,33.0
rf,shap,123,50,33,zero,0.04860988074343796,-0.5794681584556719,5.0
rf,shap,123,50,33,mean,0.04860988074343792,-0.5794681584556718,5.0
rf,shap,123,50,33,marginal,0.14958987985646802,0.1022954784990371,5.0
rf,shap,123,50,33,grouped_mean,0.1134546888822611,0.20608835767311517,34.0
rf,shap,123,50,57,zero,0.04459468643737874,0.1541703218573889,5.0
rf,shap,123,50,57,mean,0.04459468643737863,0.17001686785522732,5.0
