model,method,seed,n,masking_scheme,topk_gap,top_feature_corr,n_features_masked_topk,n_instances
rf,lime,42,50,grouped_mean,0.3302266454347823,-0.1806705829374963,44.85,40
rf,lime,42,50,marginal,0.22348666626798855,-0.08255000336026082,5.0,40
rf,lime,42,50,mean,0.24086999456684902,-0.0007958682198345817,5.0,40
rf,lime,42,50,zero,0.2424748853492309,-0.003441838965608373,5.0,40
rf,lime,123,50,grouped_mean,0.38708493258601895,-0.31626497255043273,44.375,40
rf,lime,123,50,marginal,0.2442262586569623,-0.07116725779711955,5.0,40
rf,lime,123,50,mean,0.2826199980939396,0.0006923543316143269,5.0,40
rf,lime,123,50,zero,0.28043230618698567,-0.00035984188711348387,5.0,40
rf,lime,456,50,grouped_mean,0.3502453574814126,-0.27277587572489204,43.225,40
rf,lime,456,50,marginal,0.22764192325887295,-0.0933653431760409,5.0,40
rf,lime,456,50,mean,0.23941429717521417,-0.026341353109692035,5.0,40
rf,lime,456,50,zero,0.2390643789143348,-0.024054605893003483,5.0,40
rf,lime,789,50,grouped_mean,0.3167443475022858,-0.2546558872985265,46.25,40
rf,lime,789,50,marginal,0.2234798483618326,-0.02353160353978411,5.0,40
rf,lime,789,50,mean,0.25603251617344996,0.007651450919695263,5.0,40
rf,lime,789,50,zero,0.2585874919713796,0.018389925486944843,5.0,40
rf,lime,999,50,grouped_mean,0.3306677975583393,-0.2845025184664141,43.875,40
rf,lime,999,50,marginal,0.20873841720951658,-0.09327614762120619,5.0,40
rf,lime,999,50,mean,0.25575493738706523,-0.0338143266864665,5.0,40
rf,lime,999,50,zero,0.2553601368324429,-0.03973442463849994,5.0,40
rf,shap,42,50,grouped_mean,0.4073424864670748,0.23851382752581,40.375,40
rf,shap,42,50,marginal,0.33191484260421417,0.6140188497165648,5.0,40
rf,shap,42,50,mean,0.35480597303187766,0.508584039858772,5.0,40
rf,shap,42,50,zero,0.35554012519168154,0.5226426762521559,5.0,40
rf,shap,123,50,grouped_mean,0.390429700259933,0.09031678765091447,41.375,40
rf,shap,123,50,marginal,0.3034924675135745,0.4381597095969673,5.0,40
rf,shap,123,50,mean,0.32854662142556673,0.3645449421040521,5.0,40
rf,shap,123,50,zero,0.32924561761884064,0.3746879823111743,5.0,40
rf,shap,456,50,grouped_mean,0.40152773049242024,0.30592913082007817,43.5,40
rf,shap,456,50,marginal,0.31191365504888957,0.6321009352954191,5.0,40
rf,shap,456,50,mean,0.35377822057345243,0.6142991063131492,5.0,40
rf,shap,456,50,zero,0.3539230279665304,0.6152585276172704,5.0,40
rf,shap,789,50,grouped_mean,0.3958761955571284,0.17005254075082551,42.4,40
rf,shap,789,50,marginal,0.3026181996849021,0.5018831944423354,5.0,40
rf,shap,789,50,mean,0.37828856673732175,0.44505809266020274,5.0,40
rf,shap,789,50,zero,0.3779395074952755,0.4508117514740433,5.0,40
rf,shap,999,50,grouped_mean,0.3858153971680168,0.35421448241475323,43.125,40
rf,shap,999,50,marginal,0.28149559854527095,0.5744659522192419,5.0,40
rf,shap,999,50,mean,0.34731133381604634,0.5759598202528885,5.0,40
rf,shap,999,50,zero,0.3485103162683766,0.5641457916197908,5.0,40
