experiment,dataset,model,explainer,seed,n,source,path,fidelity,stability,sparsity,faithfulness_gap,cost,duration_s
exp1,adult,rf,lime,42,,raw,experiments/exp1_adult/results/rf_lime/results.json,0.1075,0.0861,0.0926,0.1772,42.8608,102.423522
exp1,adult,rf,shap,42,,raw,experiments/exp1_adult/results/rf_shap/results.json,0.5788,0.9464,0.4573,0.23638939436015144,0.1907,9.354438
exp1,adult,xgboost,lime,42,,raw,experiments/exp1_adult/results/xgb_lime/results.json,0.5083,0.121,0.0926,0.32274148978991435,19.1896,42.773474
exp1,adult,xgboost,shap,42,,raw,experiments/exp1_adult/results/xgb_shap/results.json,0.3463,0.4516,0.2286,0.25527455187111625,0.0187,0.54208
exp2,adult,logreg,anchors,42,100,raw,experiments/exp2_scaled/results/logreg_anchors/seed_42/n_100/results.json,0.5041596485893131,0.0007075626565473308,0.03400462962962963,0.23133345759027768,1125.4655393874964,1176.303824
exp2,adult,logreg,anchors,123,100,raw,experiments/exp2_scaled/results/logreg_anchors/seed_123/n_100/results.json,0.4982202139810755,0.3123751787326279,0.03483796296296296,0.22264046358109266,6763.320377209473,1942.635867
exp2,adult,logreg,anchors,456,50,raw,experiments/exp2_scaled/results/logreg_anchors/seed_456/n_50/results.json,0.5059430944807197,0.00010685794932649012,0.03421296296296296,0.23248050088497713,1147.139537075003,453.910208
exp2,adult,logreg,anchors,456,200,raw,experiments/exp2_scaled/results/logreg_anchors/seed_456/n_200/results.json,0.5029387748968105,0.0007475729932549726,0.03614583333333333,0.2321882315594407,1449.3678942837482,2165.59093
exp2,adult,logreg,anchors,789,50,raw,experiments/exp2_scaled/results/logreg_anchors/seed_789/n_50/results.json,0.49326612195399294,0.0001984126984126984,0.03532407407407408,0.2383258802430904,1193.7793310079724,484.95101
exp2,adult,logreg,anchors,789,100,raw,experiments/exp2_scaled/results/logreg_anchors/seed_789/n_100/results.json,0.5013009822847198,0.0001388888888888889,0.034375,0.23686619235481443,1196.1268625785306,997.122216
exp2,adult,logreg,anchors,999,100,raw,experiments/exp2_scaled/results/logreg_anchors/seed_999/n_100/results.json,0.48671610476584193,0.0001018055231950731,0.037662037037037036,0.23086033483111984,1312.6974795849494,1092.900083
exp2,adult,logreg,dice,42,50,raw,experiments/exp2_scaled/results/logreg_dice/seed_42/n_50/results.json,0.17851454601118874,0.348701999598401,0.01787037037037037,0.07110534332612602,504.58268311494976,1576.436896
