model,n,method,fidelity,stability,sparsity,faithfulness_gap,cost
logreg,50,anchors,0.4996046082173563,0.00015263532386959426,0.03476851851851852,0.23540319056403375,2347.153045
logreg,50,dice,0.16288359139262928,0.3345749798357415,0.017731481481481483,0.06310115269144788,7956.6960033333335
logreg,50,lime,0.6540828199127839,0.017965578794023086,0.08512037037037036,0.3128912071403066,117.10264599999998
logreg,50,shap,0.944903226111865,0.8768232217274153,0.09259259259259257,0.3521324401766792,1488.9070130000002
logreg,100,anchors,0.49759923740523754,0.07833085895031479,0.03521990740740741,0.23042511208932615,3255.6012437499994
logreg,100,dice,0.1686661735239251,0.350198137627099,0.01760185185185185,0.06448073161647098,14061.355440000003
logreg,100,lime,0.6580062541417333,0.018124443336546,0.08475925925925924,0.3170376665156309,54.071593500000006
logreg,100,shap,0.9465929223147871,0.881787629452143,0.09259259259259257,0.3538822781936739,583.0513695
logreg,200,anchors,0.5029387748968105,0.0007475729932549726,0.03614583333333333,0.2321882315594407,2706.9886624999995
logreg,200,dice,0.17081358479054215,0.3504385975909933,0.01759722222222222,0.06289980558060648,9105.178008500001
logreg,200,lime,0.6590397677129698,0.017978499282251755,0.08518981481481482,0.31618982908766746,48.27859575
logreg,200,shap,0.9466384498829132,0.8816484062375952,0.09259259259259257,0.35344077146161146,734.9053430000001
mlp,50,anchors,0.29157144496473564,0.00013600007218739826,0.1500925925925926,0.24003389202428688,11871.81819
mlp,50,dice,0.02635833594383276,0.1354932832342194,0.015625,0.07292048622216449,8080.572314999999
mlp,50,lime,0.537882365620679,0.00710193784353495,0.08451851851851852,0.3451547632366595,51.642598
mlp,50,shap,0.7239889040699683,0.3317356528920488,0.0925925925925925,0.37143774645386063,469.1331198027474
mlp,100,anchors,0.29730176691865,0.00020056685123651013,0.14623456790123457,0.23497316503819524,19003.4256875
mlp,100,dice,0.026454238824245625,0.1321264479456001,0.01539814814814815,0.07074000540176126,19817.677272
mlp,100,lime,0.541114728519292,0.007221146958041151,0.08438888888888887,0.350110427963502,52.423258999999995
mlp,100,shap,0.7255026134417015,0.3360214277077846,0.0925925925925925,0.3763403987792451,525.1573246549815
mlp,200,anchors,0.3086440408392538,0.00036101485380002536,0.14471064814814816,0.26013821055643127,14096.85235125
mlp,200,dice,0.023811040442874527,0.12393022872384701,0.0153125,0.07243525960824676,8207.222065937502
mlp,200,lime,0.5451377742979899,0.007191125609641307,0.08510648148148146,0.3581618224125696,50.70413925
mlp,200,shap,0.7249947295411878,0.326252173206257,0.0925925925925925,0.3788035568187939,609.7235713492992
rf,50,anchors,0.3125936855871253,0.0009262667888940505,0.15192592592592594,0.19021881202762847,49975.493737
rf,50,dice,0.12503096083262152,0.402453378746457,0.018749999999999996,0.09054632798711255,34178.753767
rf,50,lime,0.4554929599664407,0.018260910648258268,0.08373148148148148,0.3381131666666667,341.824601
rf,50,shap,0.7337910083095789,0.949665557937994,0.47814814814814816,0.3974991666666666,3588.1442970000003
rf,100,anchors,0.31349339176429014,0.0016036756703334948,0.15926388888888887,0.1930873983926496,54724.2131465
rf,100,dice,0.12868552675980371,0.37969547194247066,0.017759259259259256,0.10845616666666666,23506.4379025
rf,100,lime,0.4606339578497362,0.01757749976523748,0.08429629629629629,0.3367448333333334,525.9768574999999
rf,100,shap,0.7314635343127195,0.9477821276107565,0.4790046296296297,0.39643891666666664,2366.3965534999998
rf,200,anchors,0.3182224249239628,0.0018152803039538673,0.11557613019405473,0.1807130920211893,42164.59537240678
rf,200,dice,0.1321711039702245,0.41272628796130323,0.019802299502442073,0.08068246186032461,24257.4587999336
rf,200,lime,0.4551245880439828,0.018361152154202993,0.08438659823543766,0.3276748262992454,439.99279317386856
rf,200,shap,0.7207519421930113,0.9487964013885117,0.4776798246219154,0.38380878084441084,2504.9627813016073
svm,50,anchors,0.5112829405178352,0.0008635067059557077,0.0444537037037037,0.2943570182664145,39162.502481999996
svm,50,dice,0.21637431535753515,0.39767851115661385,0.015520833333333333,0.06427092359107767,105872.51192749999
svm,50,lime,0.5922272606178494,0.018672821616095497,0.08547222222222221,0.2965808372718559,27458.211693
svm,50,shap,0.8812771689132521,0.9267825953657329,0.0925925925925925,0.3447966917289117,60594.80356685123
