model,method,seed,n,path,fidelity,stability,sparsity,faithfulness_gap,cost
logreg,anchors,42,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_anchors\seed_42\n_100\results.json,0.5041596485893131,0.0007075626565473308,0.03400462962962963,0.23133345759027768,2940.75956
logreg,anchors,123,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_anchors\seed_123\n_100\results.json,0.4982202139810755,0.3123751787326279,0.03483796296296296,0.22264046358109266,4856.589667499999
logreg,anchors,456,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_anchors\seed_456\n_50\results.json,0.5059430944807197,0.00010685794932649012,0.03421296296296296,0.23248050088497713,2269.55104
logreg,anchors,456,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_anchors\seed_456\n_200\results.json,0.5029387748968105,0.0007475729932549726,0.03614583333333333,0.2321882315594407,2706.9886624999995
logreg,anchors,789,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_anchors\seed_789\n_50\results.json,0.49326612195399294,0.0001984126984126984,0.03532407407407408,0.2383258802430904,2424.75505
logreg,anchors,789,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_anchors\seed_789\n_100\results.json,0.5013009822847198,0.0001388888888888889,0.034375,0.23686619235481443,2492.80554
logreg,anchors,999,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_anchors\seed_999\n_100\results.json,0.48671610476584193,0.0001018055231950731,0.037662037037037036,0.23086033483111984,2732.2502075
logreg,dice,42,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_42\n_50\results.json,0.17851454601118874,0.348701999598401,0.01787037037037037,0.07110534332612602,7882.18448
logreg,dice,42,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_42\n_100\results.json,0.17087884143383938,0.3606527101532086,0.017106481481481483,0.06291996234586546,7885.9735550000005
logreg,dice,42,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_42\n_200\results.json,0.17616744301577378,0.3519688012108235,0.017499999999999998,0.06508838877014579,7908.397353750001
logreg,dice,123,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_123\n_100\results.json,0.16584224623123245,0.3590257841893188,0.017453703703703704,0.06559441554109421,8983.466297500001
logreg,dice,123,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_123\n_200\results.json,0.1766217054774862,0.3567917281073044,0.017557870370370366,0.06588961775171545,7862.606435
logreg,dice,456,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_456\n_50\results.json,0.1644113986486377,0.3210220996267575,0.017175925925925924,0.05648475254291223,7930.978375000001
logreg,dice,456,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_456\n_100\results.json,0.15501865501591444,0.33497120229280947,0.01766203703703704,0.05908851602428308,7785.1286125
logreg,dice,456,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_456\n_200\results.json,0.15587785428062875,0.3392446629172823,0.01710648148148148,0.05794380377784876,9096.28868
logreg,dice,789,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_789\n_50\results.json,0.14572482951806143,0.33400084028206595,0.018148148148148146,0.0617133622053054,8056.925155
logreg,dice,789,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_789\n_100\results.json,0.17659710090661093,0.36285536013250935,0.018287037037037036,0.06633491733026621,36928.706925000006
logreg,dice,789,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_789\n_200\results.json,0.17762919880624298,0.35725739973958376,0.017835648148148146,0.06462426439957987,8159.14162
logreg,dice,999,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_999\n_100\results.json,0.17499402403202832,0.33348563136764897,0.0175,0.06846584684084593,8723.50181
logreg,dice,999,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_dice\seed_999\n_200\results.json,0.167771722372579,0.3469303959799725,0.01798611111111111,0.060952953203742534,12499.45595375
logreg,lime,42,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_42\n_50\results.json,0.6442853177477478,0.006441968525665994,0.08435185185185183,0.31285002511794824,50.08786
logreg,lime,42,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_42\n_100\results.json,0.6556811766944386,0.007817919909185282,0.08372685185185183,0.31634379584374966,71.2064075
logreg,lime,42,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_42\n_200\results.json,0.643852418147801,0.0068175708762463995,0.08358796296296295,0.31145355192709007,47.73577125
logreg,lime,123,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_123\n_50\results.json,0.6324620501635649,0.006336005258709549,0.0800462962962963,0.3122438788835356,54.140395000000005
logreg,lime,123,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_123\n_100\results.json,0.6460154147111562,0.007019835637620666,0.08222222222222221,0.31358404709149906,50.344575000000006
logreg,lime,123,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_123\n_200\results.json,0.6561238966353022,0.006857544344431143,0.08399305555555553,0.3128869803493771,50.02038375
logreg,lime,456,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_456\n_50\results.json,0.6746465219305238,0.008286244300407721,0.08814814814814813,0.31635432693889953,376.95174
logreg,lime,456,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_456\n_100\results.json,0.6696289361812039,0.007345532024549347,0.08585648148148146,0.3244471623945071,50.84831249999999
logreg,lime,456,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_456\n_200\results.json,0.6762806059777391,0.006580883872178731,0.0866087962962963,0.3249135099051756,50.025533749999994
logreg,lime,789,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_789\n_50\results.json,0.6513009338370273,0.038166759338729234,0.08611111111111111,0.3074759266062494,54.81615
logreg,lime,789,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_789\n_100\results.json,0.6533059164969995,0.03771840503289701,0.08534722222222221,0.3070733378813598,48.87317
logreg,lime,789,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_789\n_200\results.json,0.6597259138179943,0.0405556728769594,0.08594907407407407,0.31679780782476213,43.18819875
logreg,lime,999,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_999\n_50\results.json,0.6677192758850558,0.03059691654660294,0.08694444444444444,0.31553187815490047,49.517084999999994
logreg,lime,999,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_999\n_100\results.json,0.6653998266248681,0.0307205240784777,0.08664351851851851,0.3237399893670389,49.085502500000004
logreg,lime,999,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_999\n_200\results.json,0.6592160039860127,0.0290808244414431,0.08581018518518517,0.3148972954319323,50.42309125
logreg,shap,42,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_42\n_50\results.json,0.9599164670921929,0.8779396399268252,0.09259259259259257,0.3523310787741589,575.084795
logreg,shap,42,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_42\n_100\results.json,0.959757718197912,0.8766806798112211,0.09259259259259257,0.3501784985589675,502.4478775
logreg,shap,42,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_42\n_200\results.json,0.9602837332279739,0.8803512250497534,0.09259259259259257,0.35156536756364615,585.88462125
logreg,shap,123,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_123\n_50\results.json,0.9379595773286007,0.8553003141124006,0.09259259259259257,0.35307989873077317,1350.5675099999999
logreg,shap,123,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_123\n_100\results.json,0.9417485842877659,0.8681958762735903,0.09259259259259257,0.35607617231320193,618.6379850000001
logreg,shap,123,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_123\n_200\results.json,0.9424073589695949,0.8623912728670081,0.09259259259259257,0.35863408424437204,606.9819325000001
logreg,shap,456,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_456\n_50\results.json,0.9274259635377149,0.8805061761181555,0.09259259259259257,0.35243707251227546,591.327755
logreg,shap,456,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_456\n_100\results.json,0.9314471339592236,0.8844316276406344,0.09259259259259257,0.35346509971719925,616.7918549999999
logreg,shap,456,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_456\n_200\results.json,0.9304473592176842,0.8854789756823789,0.09259259259259257,0.3574315767917821,1371.5426575000001
logreg,shap,789,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_789\n_50\results.json,0.9493366084901601,0.8753385382069382,0.09259259259259257,0.3585078850324684,4359.673895000001
logreg,shap,789,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_789\n_100\results.json,0.9505743504204763,0.8822391625427666,0.09259259259259257,0.35704438881179257,600.12942
logreg,shap,789,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_789\n_200\results.json,0.9506201434607161,0.8846325424954429,0.09259259259259257,0.3549511141084323,498.185265
logreg,shap,999,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_999\n_50\results.json,0.949877514110656,0.8950314402727573,0.09259259259259257,0.34430626583372015,567.8811099999999
logreg,shap,999,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_999\n_100\results.json,0.9494368247085574,0.8973908009925019,0.09259259259259257,0.35264723156720834,577.2497099999999
logreg,shap,999,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_999\n_200\results.json,0.9494336545385967,0.8953880150933929,0.09259259259259257,0.34462171459982477,611.93223875
mlp,anchors,42,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_42\n_200\results.json,0.3080562518181398,0.00031123150792764626,0.13966435185185186,0.2560832007921251,15366.37380875
mlp,anchors,123,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_123\n_50\results.json,0.28363518265188853,0.00023628585866051078,0.1511574074074074,0.236364554450196,10886.01923
mlp,anchors,123,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_123\n_100\results.json,0.29004406691186013,0.0003646699454842976,0.15069444444444444,0.23140433153458984,11340.083709999999
