method,metric,n_blocks,mean,std,cv,ci_t_low,ci_t_high,ci_boot_low,ci_boot_high
anchors,cost,15,32463.439368410447,21752.490962247924,0.6700611945453585,20417.31139046586,44509.567346355034,21111.533433788103,42638.49399545021
anchors,faithfulness_gap,15,0.23607495101523077,0.03654504422425948,0.15480271865820153,0.21583698008817234,0.25631292194228916,0.2191468599083384,0.2552342623956352
anchors,fidelity,15,0.3886353494390754,0.10009203987941803,0.257547441384019,0.33320622529630173,0.4440644735818491,0.3418262121419002,0.44142770264441883
anchors,sparsity,15,0.08512754849076044,0.051681557482419004,0.607107316006268,0.05650725591768481,0.11374784106383608,0.061411868991183435,0.11222608800398923
anchors,stability,15,0.042915643666000106,0.06928454416699296,1.6144356287934138,0.004547141990599246,0.08128414534140097,0.017290394625545616,0.08908056995707435
dice,cost,15,27940.35173631363,27189.550981384848,0.9731284429768656,12883.280279391916,42997.42319323534,18057.138173650226,47502.082934047554
dice,faithfulness_gap,15,0.09456202983935094,0.047928884537861226,0.5068512659815616,0.06801989827450045,0.12110416140420144,0.07593903082585879,0.12514668334439824
dice,fidelity,15,0.17007716324523614,0.10268304967027968,0.6037438990102384,0.11321318570627001,0.22694114078420227,0.1210242006461668,0.22273484713434302
dice,sparsity,15,0.016558347744607252,0.0019179383374945949,0.11582908917462685,0.015496228895443569,0.017620466593770933,0.015430923384825893,0.017363756470418303
dice,stability,15,0.3611328696041806,0.1470405137495111,0.40716458158648017,0.2797045472275195,0.44256119198084176,0.28468731130915537,0.4296204410656673
lime,cost,15,3660.677828711591,7911.7345893298,2.1612758509574737,-720.6947486177619,8042.050406040944,989.6394741289618,9913.79749416001
lime,faithfulness_gap,15,0.3342173899081751,0.027598652706590034,0.08257695003294907,0.3189337654672125,0.3495010143491377,0.320755124064085,0.34811415817491675
lime,fidelity,15,0.5601929678586288,0.06786838115702264,0.12115179063466931,0.5226087111179961,0.5977772245992615,0.5256429613623371,0.5931486346028338
lime,sparsity,15,0.08464706951199213,0.00048764221908835465,0.005760887197864178,0.08437702225217339,0.08491711677181088,0.08440994862024494,0.08488889605244779
lime,stability,15,0.014404926494075276,0.004981827749531534,0.3458419417537849,0.011646082243130193,0.01716377074502036,0.011655234543812966,0.016569274416590063
shap,cost,15,11708.260071892937,22419.850574462107,1.9148746642794183,-707.4393408816031,24123.959484667477,3579.970982746441,26601.701927335147
shap,faithfulness_gap,15,0.37955967512529754,0.0321230379379495,0.08463237810324628,0.36177052965628037,0.3973488205943147,0.36546373350232664,0.3972193834177224
shap,fidelity,15,0.808083098828618,0.09278833035218849,0.11482523330421426,0.7566986342069738,0.8594675634502621,0.7657294772632239,0.8578803180229108
shap,sparsity,15,0.2264187784315844,0.17292500269637304,0.7637396681239703,0.1306561038633171,0.3221814529998517,0.14928179012345674,0.3209130673607098
shap,stability,15,0.7320296911218906,0.24981702261581631,0.3412662432215733,0.593685635228615,0.8703737470151663,0.5909408249450772,0.8380131436218122
