Model,Explainer,Name,Fidelity,Stability,Sparsity,Cost_Raw,Causal,Efficiency
adult_mlp,shap,exp2_mlp_shap,0.7605,0.3774,0.0926,343.4721,0.0,0.997778092563032
adult_rf,dice,exp2_rf_dice,0.1806,0.4498,0.0176,5107.879,0.0,0.9669556545733317
adult_xgb,anchors,exp2_xgb_anchors,0.3122,0.0014,0.0625,14262.6476,0.0,0.907730593950664
adult_mlp,lime,exp2_mlp_lime,0.541,0.0105,0.0859,73.9175,0.0,0.9995219255558309
adult_logreg,dice,exp2_logreg_dice,0.1441,0.3344,0.019,1059.7651,0.0,0.9931441691727027
adult_mlp,dice,exp2_mlp_dice,-0.0017,0.1312,0.0155,1205.9237,0.0,0.9921986234878533
adult_svm,lime,exp2_svm_lime,0.5976,0.0052,0.088,4553.2352,0.0,0.9705438187437495
adult_logreg,lime,exp2_logreg_lime,0.6484,0.0072,0.0836,78.4939,0.0,0.999492319393264
adult_rf,shap,exp2_rf_shap,0.7329,0.9479,0.4523,140.3579,0.0,0.9990921018333837
adult_xgb,dice,exp2_xgb_dice,0.3831,0.5365,0.019,1021.3864,0.0,0.9933924529834064
adult_svm,anchors,exp2_svm_anchors,0.5051,0.0,0.037,30711.9247,0.0,0.8013150769657171
adult_rf,lime,exp2_rf_lime,0.4508,0.0066,0.0833,300.4664,0.0,0.9980563098835245
adult_rf,anchors,exp2_rf_anchors,0.3444,0.0005,0.1326,52974.2461,0.0,0.6572931587583786
adult_svm,shap,exp2_svm_shap,0.8671,0.9205,0.0926,154575.9449,0.0,0.0
adult_logreg,shap,exp2_logreg_shap,0.9611,0.8789,0.0926,184.653,0.0,0.9988055429811166
adult_xgb,shap,exp2_xgb_shap,0.7841,0.6042,0.3576,2.0293,0.0,0.9999869927999177
adult_xgb,lime,exp2_xgb_lime,0.491,0.0061,0.0778,72.0978,0.0,0.9995336977641218
adult_svm,dice,exp2_svm_dice,0.3054,0.4159,0.0155,3720.3991,0.0,0.9759316958891364
adult_mlp,anchors,exp2_mlp_anchors,0.3584,0.0009,0.1167,13230.5819,0.0,0.9144073496743506
adult_logreg,anchors,exp2_logreg_anchors,0.4954,0.0004,0.0329,4842.2418,0.0,0.9686741446806223
adult_mlp,shap,recovery_phase1_mlp_shap,0.7657184506323146,0.38630660771437164,0.09259259259259259,1722.2307604501111,0.0,0.9888584716728671
adult_mlp,shap,rec_p1_exp2_mlp_shap_s42_n50,0.7272829675690485,0.339002990562621,0.09259259259259257,603.7068311748226,0.0,0.9960945527158367
adult_mlp,shap,rec_p1_exp2_mlp_shap_s42_n100,0.7266618828336209,0.346499524351255,0.09259259259259257,890.7383087255585,0.0,0.9942376563374229
adult_mlp,shap,rec_p1_exp2_mlp_shap_s456_n200,0.7256976921848964,0.3267239976894568,0.09259259259259257,849.0984927397949,0.0,0.9945070373271372
adult_mlp,shap,rec_p1_exp2_mlp_shap_s456_n100,0.721556971101541,0.34813904657000366,0.09259259259259257,714.0814470389159,0.0,0.9953805048134402
adult_mlp,shap,rec_p1_exp2_mlp_shap_s789_n100,0.7273719959935443,0.3398456992780129,0.09259259259259257,543.5251323648481,0.0,0.99648388694329
adult_mlp,shap,rec_p1_exp2_mlp_shap_s123_n200,0.7181212739867188,0.31114851717867814,0.09259259259259257,874.6772730262455,0.0,0.9943415601993899
adult_mlp,shap,rec_p1_exp2_mlp_shap_s999_n50,0.7365528161445201,0.3236548981555129,0.09259259259259257,939.540982178878,0.0,0.9939219365830403
adult_mlp,shap,rec_p1_exp2_mlp_shap_s999_n200,0.7241095959011516,0.32056220093390303,0.09259259259259257,452.73286018626095,0.0,0.9970712505413003
random_forest,lime,exp1_adult_rf_lime,0.30087001193615115,0.34154958655394324,0.09240740740740744,39.804899997543544,0.0,0.9997426106317094
xgboost,shap,exp1_adult_xgb_shap,0.7741759350515999,0.6002369554452185,0.09259259259259262,193.25748700415716,0.0,0.9987498778642017
xgboost,shap,exp1_adult_xgb_shap,0.7968214752865359,0.5827404423108886,0.09259259259259262,196.9996470026672,0.0,0.9987256686610578
xgboost,shap,exp1_adult_xgb_shap,0.8271256130409713,0.603992968302478,0.09250000000000004,293.30044098198414,0.0,0.9981026687130924
xgboost,shap,exp1_adult_xgb_shap,0.7850160379464128,0.566145325771868,0.09259259259259262,194.6054570027627,0.0,0.9987411574247921
xgboost,shap,exp1_adult_xgb_shap,0.7792315544832158,0.6007691191435384,0.09259259259259262,189.42904400406405,0.0,0.9987746452590619
xgboost,shap,exp1_adult_xgb_shap,0.7585541803720512,0.5655058581348312,0.09259259259259262,190.67007398232818,0.0,0.9987666166480824
xgboost,shap,exp1_adult_xgb_shap,0.7496389291940837,0.6135168053131838,0.09259259259259262,191.55105400830507,0.0,0.998760917312826
xgboost,shap,exp1_adult_xgb_shap,0.7920321075035979,0.5621077754505779,0.09259259259259262,190.3721580072306,0.0,0.9987685439596788
xgboost,shap,exp1_adult_xgb_shap,0.8100427646755065,0.5818282827603874,0.09259259259259262,193.9766909973696,0.0,0.998745225108686
xgboost,lime,exp1_adult_xgb_lime,0.5255519269778813,0.26093767571666526,0.09250000000000004,9.329000993166119,0.0,0.9999397687516934
xgboost,lime,exp1_adult_xgb_lime,0.47243329971001524,0.2772624313531165,0.09148148148148151,9.363637000788003,0.0,0.99993954468053
xgboost,lime,exp1_adult_xgb_lime,0.5411360335341194,0.2678266410484642,0.09231481481481485,9.249078987631947,0.0,0.9999402857921376
xgboost,lime,exp1_adult_xgb_lime,0.5059874160812093,0.28256341199230606,0.09259259259259262,9.08570697531104,0.0,0.999941342696769
xgboost,lime,exp1_adult_xgb_lime,0.48185867209697364,0.21645683457145876,0.09212962962962966,9.55705299274996,0.0,0.9999382934119999
xgboost,lime,exp1_adult_xgb_lime,0.5343405633104287,0.2702288012873598,0.09231481481481485,9.527867999859154,0.0,0.9999384822188446
xgboost,lime,exp1_adult_xgb_lime,0.4852934248079893,0.24808801124089042,0.09240740740740744,9.118112020660192,0.0,0.9999411330583982
xgboost,lime,exp1_adult_xgb_lime,0.4964820713806841,0.2373392875645464,0.09240740740740744,9.124479992315173,0.0,0.9999410918619984
xgboost,lime,exp1_adult_xgb_lime,0.5253963067231806,0.24658773050802804,0.09259259259259262,9.404914996121079,0.0,0.9999392776402712
random_forest,lime,exp1_adult_rf_lime,0.2850131289306674,0.3377623053113053,0.0913888888888889,38.12703000148758,0.0,0.999753465297357
random_forest,lime,exp1_adult_rf_lime,0.28212435143126763,0.36085424535814625,0.09259259259259262,38.527177991345525,0.0,0.9997508766148907
random_forest,lime,exp1_adult_rf_lime,0.30087001193615115,0.34154958655394324,0.09240740740740744,38.16017901757732,0.0,0.9997532508460067
random_forest,lime,exp1_adult_rf_lime,0.3056502493153705,0.34627261132127357,0.09138888888888891,37.77136201271787,0.0,0.999755766224788
random_forest,lime,exp1_adult_rf_lime,0.2770171261399063,0.2962685878385723,0.09250000000000004,38.11824600910768,0.0,0.9997535221237502
random_forest,lime,exp1_adult_rf_lime,0.31173153800292697,0.35157576479837166,0.09222222222222225,39.283231005538255,0.0,0.9997459854715363
random_forest,lime,exp1_adult_rf_lime,0.26552231387629044,0.3258403673983954,0.09250000000000004,40.34360898658633,0.0,0.9997391255548137
random_forest,lime,exp1_adult_rf_lime,0.2898211149666904,0.3337466202884387,0.09250000000000004,37.85880499519408,0.0,0.9997552005287923
random_forest,lime,exp1_adult_rf_lime,0.25717641067446534,0.33956491528949106,0.09250000000000004,38.510386005509645,0.0,0.9997509852474977
