Found 195 result files

XXX EXPERIMENT SUMMARY TABLE XXX

Method          | Model      | N     | Fidelity   | Stability  | Sparsity   | Time(ms)  
------------------------------------------------------------------------------------------
anchors         | logreg     | 50    | 0.4996     | 0.0002     | 0.0348     | 2347.15
anchors         | logreg     | 100   | 0.4984     | 0.0004     | 0.0355     | 2826.86
anchors         | logreg     | 200   | 0.5029     | 0.0007     | 0.0361     | 2706.99
anchors         | mlp        | 50    | 0.2916     | 0.0001     | 0.1501     | 11871.82
anchors         | mlp        | 100   | 0.2973     | 0.0002     | 0.1462     | 19003.43
anchors         | mlp        | 200   | 0.3086     | 0.0004     | 0.1447     | 14096.85
anchors         | rf         | 50    | 0.3007     | 0.0007     | 0.1804     | 56467.51
anchors         | rf         | 100   | 0.2953     | 0.0005     | 0.1906     | 63094.55
anchors         | rf         | 200   | 0.2993     | 0.0008     | 0.1700     | 58492.59
anchors         | svm        | 50    | 0.5113     | 0.0009     | 0.0445     | 39162.50
anchors         | svm        | 100   | 0.5167     | 0.0004     | 0.0424     | 41203.99
anchors         | svm        | 200   | 0.5076     | 0.0012     | 0.0440     | 53338.40
anchors         | xgb        | 50    | 0.3119     | 0.0005     | 0.0587     | 6059.83
anchors         | xgb        | 100   | 0.3194     | 0.0011     | 0.0551     | 4438.06
anchors         | xgb        | 200   | 0.3184     | 0.0003     | 0.0596     | 4793.22
dice            | logreg     | 50    | 0.1629     | 0.3346     | 0.0177     | 7956.70
dice            | logreg     | 100   | 0.1667     | 0.3470     | 0.0174     | 8344.52
dice            | logreg     | 200   | 0.1708     | 0.3504     | 0.0176     | 9105.18
dice            | mlp        | 50    | 0.0277     | 0.1370     | 0.0156     | 8544.79
dice            | mlp        | 100   | 0.0285     | 0.1331     | 0.0155     | 8239.41
dice            | mlp        | 200   | 0.0238     | 0.1239     | 0.0153     | 8207.22
dice            | rf         | 50    | 0.1330     | 0.3877     | 0.0176     | 19680.68
dice            | rf         | 100   | 0.1290     | 0.3811     | 0.0177     | 21007.85
dice            | rf         | 200   | 0.1353     | 0.4002     | 0.0186     | 28041.45
dice            | svm        | 50    | 0.2288     | 0.3964     | 0.0155     | 33896.30
dice            | svm        | 100   | 0.1663     | 0.2944     | 0.0115     | 26269.49
dice            | svm        | 200   | 0.2204     | 0.3956     | 0.0156     | 34199.24
dice            | xgb        | 50    | 0.3275     | 0.5810     | 0.0166     | 9796.31
dice            | xgb        | 100   | 0.3324     | 0.5688     | 0.0168     | 10706.54
dice            | xgb        | 200   | 0.3204     | 0.5716     | 0.0166     | 10601.89
lime            | logreg     | 50    | 0.6489     | 0.0204     | 0.0844     | 52.14
lime            | logreg     | 100   | 0.6586     | 0.0207     | 0.0850     | 49.79
lime            | logreg     | 200   | 0.6589     | 0.0123     | 0.0850     | 49.55
lime            | mlp        | 50    | 0.5328     | 0.0076     | 0.0846     | 55.15
lime            | mlp        | 100   | 0.5411     | 0.0072     | 0.0844     | 52.42
lime            | mlp        | 200   | 0.5451     | 0.0048     | 0.0849     | 51.87
lime            | rf         | 50    | 0.4555     | 0.0183     | 0.0837     | 341.82
lime            | rf         | 100   | 0.4529     | 0.0066     | 0.0835     | 339.51
lime            | rf         | 200   | 0.4590     | 0.0259     | 0.0846     | 327.18
lime            | svm        | 50    | 0.5938     | 0.0215     | 0.0856     | 12866.35
lime            | svm        | 100   | 0.5914     | 0.0244     | 0.0851     | 13287.19
lime            | svm        | 200   | 0.5952     | 0.0213     | 0.0847     | 13083.78
lime            | xgb        | 50    | 0.5589     | 0.0090     | 0.0851     | 111.55
lime            | xgb        | 100   | 0.5511     | 0.0104     | 0.0841     | 62.04
lime            | xgb        | 200   | 0.5600     | 0.0082     | 0.0848     | 63.61
shap            | logreg     | 50    | 0.9438     | 0.8772     | 0.0926     | 771.22
shap            | logreg     | 100   | 0.9433     | 0.8831     | 0.0926     | 603.20
shap            | logreg     | 200   | 0.9456     | 0.8809     | 0.0926     | 794.09
shap            | mlp        | 50    | 0.7178     | 0.3346     | 0.0926     | 1068.18
shap            | mlp        | 100   | 0.7157     | 0.3226     | 0.0926     | 1246.43
shap            | mlp        | 200   | 0.7177     | 0.3107     | 0.0926     | 1390.77
shap            | rf         | 50    | 0.7356     | 0.9532     | 0.4668     | 1013.25
shap            | rf         | 100   | 0.7305     | 0.9521     | 0.4682     | 1462.29
shap            | rf         | 200   | 0.7186     | 0.9467     | 0.4847     | 1591.48
shap            | svm        | 50    | 0.8451     | 0.9304     | 0.0926     | 1550662.43
shap            | svm        | 100   | 0.9608     | 0.9684     | 0.0926     | 1609857.36
shap            | svm        | 200   | 0.9519     | 0.9696     | 0.0926     | 1531368.40
shap            | xgb        | 50    | 0.7439     | 0.5633     | 0.3783     | 18.63
shap            | xgb        | 100   | 0.7584     | 0.5771     | 0.3759     | 19.03
shap            | xgb        | 200   | 0.7686     | 0.5742     | 0.3857     | 17.99
